Step: 62 Station Capacity Increased : {'cs_0': 0, 'cs_1': 0, 'cs_10': 0, 'cs_11': 0, 'cs_12': 0, 'cs_13': 0, 'cs_14': 0, 'cs_15': 0, 'cs_16': 0, 'cs_17': 0, 'cs_18': 0, 'cs_19': 0, 'cs_2': 0, 'cs_20': 0, 'cs_21': 0, 'cs_22': 0, 'cs_23': 0, 'cs_24': 0, 'cs_25': 0, 'cs_26': 0, 'cs_27': 0, 'cs_3': 0, 'cs_4': 1, 'cs_5': 0, 'cs_6': 0, 'cs_7': 0, 'cs_8': 0, 'cs_9': 0}
Step: 66 Station Capacity Increased : {'cs_0': 1, 'cs_1': 0, 'cs_10': 0, 'cs_11': 0, 'cs_12': 0, 'cs_13': 0, 'cs_14': 0, 'cs_15': 0, 'cs_16': 0, 'cs_17': 0, 'cs_18': 0, 'cs_19': 0, 'cs_2': 0, 'cs_20': 0, 'cs_21': 0, 'cs_22': 0, 'cs_23': 0, 'cs_24': 0, 'cs_25': 0, 'cs_26': 0, 'cs_27': 0, 'cs_3': 0, 'cs_4': 1, 'cs_5': 0, 'cs_6': 0, 'cs_7': 0, 'cs_8': 0, 'cs_9': 0}
Step: 122 Station Capacity Increased : {'cs_0': 1, 'cs_1': 0, 'cs_10': 0, 'cs_11': 1, 'cs_12': 0, 'cs_13': 0, 'cs_14': 0, 'cs_15': 0, 'cs_16': 0, 'cs_17': 0, 'cs_18': 0, 'cs_19': 0, 'cs_2': 0, 'cs_20': 0, 'cs_21': 0, 'cs_22': 0, 'cs_23': 0, 'cs_24': 0, 'cs_25': 0, 'cs_26': 0, 'cs_27': 0, 'cs_3': 0, 'cs_4': 1, 'cs_5': 0, 'cs_6': 0, 'cs_7': 0, 'cs_8': 0, 'cs_9': 0}
Step: 158 Station Capacity Increased : {'cs_0': 1, 'cs_1': 0, 'cs_10': 0, 'cs_11': 1, 'cs_12': 0, 'cs_13': 0, 'cs_14': 0, 'cs_15': 0, 'cs_16': 0, 'cs_17': 0, 'cs_18': 0, 'cs_19': 0, 'cs_2': 0, 'cs_20': 0, 'cs_21': 0, 'cs_22': 0, 'cs_23': 0, 'cs_24': 0, 'cs_25': 0, 'cs_26': 1, 'cs_27': 0, 'cs_3': 0, 'cs_4': 1, 'cs_5': 0, 'cs_6': 0, 'cs_7': 0, 'cs_8': 0, 'cs_9': 0}
Step: 166 Station Capacity Increased : {'cs_0': 1, 'cs_1': 0, 'cs_10': 0, 'cs_11': 1, 'cs_12': 0, 'cs_13': 0, 'cs_14': 0, 'cs_15': 0, 'cs_16': 0, 'cs_17': 0, 'cs_18': 0, 'cs_19': 0, 'cs_2': 0, 'cs_20': 0, 'cs_21': 0, 'cs_22': 0, 'cs_23': 0, 'cs_24': 0, 'cs_25': 0, 'cs_26': 1, 'cs_27': 0, 'cs_3': 0, 'cs_4': 2, 'cs_5': 0, 'cs_6': 0, 'cs_7': 0, 'cs_8': 0, 'cs_9': 0}
Step: 176 Station Capacity Increased : {'cs_0': 1, 'cs_1': 0, 'cs_10': 0, 'cs_11': 2, 'cs_12': 0, 'cs_13': 0, 'cs_14': 0, 'cs_15': 0, 'cs_16': 0, 'cs_17': 0, 'cs_18': 0, 'cs_19': 0, 'cs_2': 0, 'cs_20': 0, 'cs_21': 0, 'cs_22': 0, 'cs_23': 0, 'cs_24': 0, 'cs_25': 0, 'cs_26': 1, 'cs_27': 0, 'cs_3': 0, 'cs_4': 2, 'cs_5': 0, 'cs_6': 0, 'cs_7': 0, 'cs_8': 0, 'cs_9': 0}
Step: 182 Station Capacity Decreased: {'cs_0': 0, 'cs_1': 0, 'cs_10': 0, 'cs_11': 2, 'cs_12': 0, 'cs_13': 0, 'cs_14': 0, 'cs_15': 0, 'cs_16': 0, 'cs_17': 0, 'cs_18': 0, 'cs_19': 0, 'cs_2': 0, 'cs_20': 0, 'cs_21': 0, 'cs_22': 0, 'cs_23': 0, 'cs_24': 0, 'cs_25': 0, 'cs_26': 1, 'cs_27': 0, 'cs_3': 0, 'cs_4': 2, 'cs_5': 0, 'cs_6': 0, 'cs_7': 0, 'cs_8': 0, 'cs_9': 0}
Step: 182 Station Capacity Increased : {'cs_0': 0, 'cs_1': 0, 'cs_10': 0, 'cs_11': 2, 'cs_12': 0, 'cs_13': 0, 'cs_14': 0, 'cs_15': 0, 'cs_16': 0, 'cs_17': 0, 'cs_18': 0, 'cs_19': 0, 'cs_2': 0, 'cs_20': 0, 'cs_21': 0, 'cs_22': 0, 'cs_23': 1, 'cs_24': 0, 'cs_25': 0, 'cs_26': 1, 'cs_27': 0, 'cs_3': 0, 'cs_4': 2, 'cs_5': 0, 'cs_6': 0, 'cs_7': 0, 'cs_8': 0, 'cs_9': 0}
Step: 194 Station Capacity Decreased: {'cs_0': 0, 'cs_1': 0, 'cs_10': 0, 'cs_11': 2, 'cs_12': 0, 'cs_13': 0, 'cs_14': 0, 'cs_15': 0, 'cs_16': 0, 'cs_17': 0, 'cs_18': 0, 'cs_19': 0, 'cs_2': 0, 'cs_20': 0, 'cs_21': 0, 'cs_22': 0, 'cs_23': 1, 'cs_24': 0, 'cs_25': 0, 'cs_26': 1, 'cs_27': 0, 'cs_3': 0, 'cs_4': 1, 'cs_5': 0, 'cs_6': 0, 'cs_7': 0, 'cs_8': 0, 'cs_9': 0}
Step: 194 Station Capacity Increased : {'cs_0': 0, 'cs_1': 0, 'cs_10': 0, 'cs_11': 2, 'cs_12': 0, 'cs_13': 0, 'cs_14': 0, 'cs_15': 0, 'cs_16': 0, 'cs_17': 0, 'cs_18': 0, 'cs_19': 0, 'cs_2': 0, 'cs_20': 0, 'cs_21': 0, 'cs_22': 0, 'cs_23': 1, 'cs_24': 0, 'cs_25': 1, 'cs_26': 1, 'cs_27': 0, 'cs_3': 0, 'cs_4': 1, 'cs_5': 0, 'cs_6': 0, 'cs_7': 0, 'cs_8': 0, 'cs_9': 0}
Step: 194 Station Capacity Increased : {'cs_0': 0, 'cs_1': 0, 'cs_10': 0, 'cs_11': 2, 'cs_12': 0, 'cs_13': 0, 'cs_14': 0, 'cs_15': 0, 'cs_16': 0, 'cs_17': 0, 'cs_18': 0, 'cs_19': 0, 'cs_2': 0, 'cs_20': 0, 'cs_21': 0, 'cs_22': 0, 'cs_23': 1, 'cs_24': 0, 'cs_25': 1, 'cs_26': 2, 'cs_27': 0, 'cs_3': 0, 'cs_4': 1, 'cs_5': 0, 'cs_6': 0, 'cs_7': 0, 'cs_8': 0, 'cs_9': 0}
