Step,Vehicle_ID,Charge
2,0,90
4,0,89
6,0,88
8,0,87
10,0,86
12,0,85
14,0,84
16,0,83
18,0,82
20,0,81
20,1,53
22,0,80
22,1,52
24,0,79
24,1,51
26,0,78
26,1,50
28,0,77
28,1,49
30,0,76
30,1,48
32,0,75
32,1,47
34,0,74
34,1,46
36,0,73
36,1,45
38,0,72
38,1,44
40,0,71
40,1,43
40,2,41
42,0,70
42,1,42
42,2,40
44,0,69
44,1,41
44,2,39
46,0,68
46,1,40
46,2,38
48,0,67
48,1,39
48,2,37
50,0,66
50,1,38
50,2,36
52,0,65
52,1,37
52,2,35
54,0,64
54,1,36
54,2,34
56,0,63
56,1,35
56,2,33
58,0,62
58,1,34
58,2,32
60,0,61
60,1,33
60,2,31
60,3,88
62,0,60
62,1,32
62,2,30
62,3,87
64,0,59
64,1,31
64,2,29
64,3,86
66,0,58
66,1,30
66,2,28
66,3,85
68,0,57
68,1,29
68,2,27
68,3,84
70,0,56
70,1,28
70,2,26
70,3,83
72,0,55
72,1,27
72,2,25
72,3,82
74,0,54
74,1,26
74,2,24
74,3,81
76,0,53
76,1,27
76,2,23
76,3,80
78,0,52
78,1,28
78,2,22
78,3,79
80,0,51
80,1,29
80,2,23
80,3,78
80,4,69
82,0,50
82,1,30
82,2,24
82,3,77
82,4,68
84,0,49
84,1,31
84,2,25
84,3,76
84,4,67
86,0,48
86,1,32
86,2,26
86,3,75
86,4,66
88,0,47
88,1,33
88,2,27
88,3,74
88,4,65
90,0,46
90,1,34
90,2,28
90,3,73
90,4,64
92,0,45
92,1,35
92,2,29
92,3,72
92,4,63
94,0,44
94,1,36
94,2,30
94,3,71
94,4,62
96,0,43
96,1,37
96,2,31
96,3,70
96,4,61
98,0,42
98,1,38
98,2,32
98,3,69
98,4,60
100,0,41
100,1,39
100,2,33
100,3,68
100,4,59
100,5,77
102,0,40
102,1,40
102,2,34
102,3,67
102,4,58
102,5,76
104,0,39
104,1,41
104,2,35
104,3,66
104,4,57
104,5,75
106,0,38
106,1,42
106,2,36
106,3,65
106,4,56
106,5,74
108,0,37
108,1,43
108,2,37
108,3,64
108,4,55
108,5,73
110,0,36
110,1,44
110,2,38
110,3,63
110,4,54
110,5,72
112,0,35
112,1,45
112,2,39
112,3,62
112,4,53
112,5,71
114,0,34
114,1,46
114,2,40
114,3,61
114,4,52
114,5,70
116,0,33
116,1,47
116,2,41
116,3,60
116,4,51
116,5,69
118,0,32
118,1,48
118,2,42
118,3,59
118,4,50
118,5,68
120,0,31
120,1,49
120,2,43
120,3,58
120,4,49
120,5,67
120,6,73
122,0,30
122,1,50
122,2,44
122,3,57
122,4,48
122,5,66
122,6,72
124,0,29
124,1,51
124,2,45
124,3,56
124,4,47
124,5,65
124,6,71
126,0,28
126,1,52
126,2,46
126,3,55
126,4,46
126,5,64
126,6,70
128,0,27
128,1,53
128,2,47
128,3,54
128,4,45
128,5,63
128,6,69
130,0,26
130,1,54
130,2,48
130,3,53
130,4,44
130,5,62
130,6,68
132,0,25
132,1,55
132,2,49
132,3,52
132,4,43
132,5,61
132,6,67
134,0,24
134,1,56
134,2,50
134,3,51
134,4,42
134,5,60
134,6,66
136,0,23
136,1,57
136,2,51
136,3,50
136,4,41
136,5,59
136,6,65
138,0,24
138,1,58
138,2,52
138,3,49
138,4,40
138,5,58
138,6,64
140,0,25
140,1,59
140,2,53
140,3,48
140,4,39
140,5,57
140,6,63
140,7,43
142,0,26
142,1,60
142,2,54
142,3,47
142,4,38
142,5,56
142,6,62
142,7,42
144,0,27
144,1,61
144,2,55
144,3,46
144,4,37
144,5,55
144,6,61
144,7,41
146,0,28
146,1,62
146,2,56
146,3,45
146,4,36
146,5,54
146,6,60
146,7,40
148,0,29
148,1,63
148,2,57
148,3,44
148,4,35
148,5,53
148,6,59
148,7,39
150,0,30
150,1,64
150,2,58
150,3,43
150,4,34
150,5,52
150,6,58
150,7,38
152,0,31
152,1,65
152,2,59
152,3,42
152,4,33
152,5,51
152,6,57
152,7,37
154,0,32
154,1,66
154,2,60
154,3,41
154,4,32
154,5,50
154,6,56
154,7,36
156,0,33
156,1,67
156,2,61
156,3,40
156,4,31
156,5,49
156,6,55
156,7,35
158,0,34
158,1,68
158,2,62
158,3,39
158,4,30
158,5,48
158,6,54
158,7,34
